ID,DAM,LAKE,STREAM,CAPACITY (AF),YEAR FILL
MEA,Hoover,Lake Mead,Colorado River,26159008,1959
PWL,Glen Canyon,Lake Powell,Colorado River,24322000,1974
SHA,Shasta,Lake Shasta,Sacramento River,4552000,1954
ORO,Oroville,Lake Oroville,Feather River,3537577,1969
CLE,Trinity,Trinity Lake,Trinity River,2447650,1963
NML,New Melones,New Melones Reservoir,Stanislaus River,2400000,1983
SNL,San Luis,San Luis Reservoir,San Luis Creek,2041000,1970
DNP,Don Pedro,New Don Pedro Reservoir,Tuolumne River,2030000,1974
MHV,Davis,Lake Mohave,Colorado River,1810000,1952
BER,Montecello,Lake Berryessa,Putah Creek,1602000,1964
ALM,Canyon,Lake Almanor,N Fork Feather River,1308000,1964
LUS,San Luis,San Luis Reservoir (SWP),San Luis Creek,1062000,1970
EXC,New Exchequer,Lake McClure,Merced River,1024600,1967
PNF,Pine Flat,Pine Flat Dam,Kings River,1000000,1956
FOL,Folsom,Folsom Lake,American River,977000,1956
SLF,San Luis,San Luis Reservoir (CVP),San Luis Creek,971000,1970
BUL,New Bullards Bar,Bullards Bar Reservoir,N Fork Yuba River,966000,1968
DMV,Diamond Valley,Diamond Valley Lake,Domenigoni Valley Creek,800000,1970
THC,Lake Tahoe,Lake Tahoe,Truckee River,732000,1956
HVS,Parker Dam,Lake Havasu,Colorado River,648000,1959
SJT,Upper San Joaquin R Total,null,San Joaquin River,617300,1985
ISB,Isabella,Lake Isabella,Kern River,568000,1953
CLK,Clear Lake,Clear Lake,Lost Creek,526800,1953
MIL,Friant,Millerton Lake,San Joaquin River,520500,1946
KLM,Upper Klamath,Upper Klamath,Klamath River,515615,1955
CMN,Camanche,Camanche Reservoir,Mokelumne River,417120,1966
NCM,Nacimiento,Lake Nacimiento,Nacimiento River,382770,1958
WRS,Warm Springs,Warm Springs Reservoir,Russian River,381000,1987
HTH,O Shanessey,Hetch-Hetchy Reservoir,Tuolumne River,360000,1952
ATN,James H Turner,Lake San Antonio,Salinas River Tributary,331060,1968
CAS,Castaic,Castaic Lake,Castaic Creek,325000,1975
NHG,New Hogan,New Hogan Lake,Calaveras River,317000,1965
PRA,Prado,null,Santa Ana River,314400,1999
CLA,Clear Lake Imp,Clear Lake,Cache Creek,313000,1953
INV,Indian Valley,Indian Valley Reservoir,Cache Creek Tributary,300000,1979
CHV,Cherry Valley,Cherry Lake,Cherry Creek,273500,1957
UNV,Union Valley,Union Valley Reservoir,S Fork American River,266369,1963
CSI,Casitas,Lake Casitas,Casitas Creek,254000,1970
SVT,San Vicente,San Vicente Reservoir,San Vicente Creek,249358,1956
WHI,Whiskeytown,Whiskeytown Lake,Clear Creek,241100,1964
TWT,Twitchell,Twitchell Reservoir,Cuyama River,240000,1961
STP,Stampede,Stampede Lake,Little Truckee River,226500,1971
HHL,Lower Hell Hole,Hell Hole Reservoir,Rubicon River,207600,1967
PAR,Pardee Reservoir,Pardee Res,Mokelumne River,203795,1951
CCH,Cachuma,Cachuma Lake,Santa Ynez,193305,1959
SPM,New Spicer Meadow,New Spicer Meadow Reservoir,N Fork Stanislaus River,189000,1990
TRM,Terminus,Lake Kaweah,Kaweah River,185600,1964
CRW,Long Valley,Lake Crowley,Owens River,183465,1962
PYM,Pyramid,Pyramid Lake,Piru Creek,180000,1975
MHW,Matthews,Lake Matthews,De Luz Creek Tributary,179300,1962
LVQ,Los Vaqueros,Los Vaqueros Reservoir,Kellogg Creek,160000,1999
BUC,Buchanan,Eastman Lake,Chowchilla River,150000,1978
SVO,Seven Oaks,null,Santa Ana River,145600,2005
BWS,Bowman Spaulding Diversion,Lake Spaulding System,none,144591,1946
BLB,Black Butte Rereg,Black Butte,Stony Creek,143700,1965
SLS,Salt Springs,,N Fork Mokelumne River,141900,1951
FMD,French Meadows,French Meadows Reservoir,M Fork American,136400,1966
SHV,Shaver,Shaver Lake,San Joaquin River,135283,1951
PRR,Perris,Perris Lake,none,131452,1975
WSN,Wishon,Lake Wishon,Helms Creek,128300,1959
EDS,Vermillion Valley,Thomas A. Edison Lake,S Fork San Joaquin River,125000,1956
CTG,Courtright,Helms Creek,Helms Creek,123300,1962
MPL,Mammoth Pool,Mammoth Pool Reservoir,San Joaquin River,123000,1960
COY,Coyote Valley,Lake Mendocino,Russian River,122400,1960
ELC,El Capitan,El Capitan,San Diego River,112807,1959
CFW,Camp Far West,Camp Far West,Bear River,104500,1964
BCL,Bucks,Bucks Lake,Bucks Creek,103000,1951
CVE,Calaveras,Calaveras Reservoir,Calaveras Creek,100000,1956
BRD,Beardsley,Beardsley Lake,M Fork Stanislaus River,97800,1958
GBR,Gerber,Gerber Lake,Klamath River,94720,1952
LGV,Little Grass Valley,Little Grass Valley Reservoir,S Fork Feather River,93010,1963
HID,Hidden,Hensley Lake,Fresno River,90000,1978
HNT,Huntington,Huntington Lake,San Joaquin River,89800,1926
LRA,Leroy Anderson,Anderson Lake,Coyote Creek,89100,1956
PRU,Santa Felicia,Lake Piru,Piru Creek,83244,1958
DAV,Grizzly Valley,Lake Davis,Big Grizzly Creek,83000,1968
SCC,Success,Lake Success,Tule River,82300,1963
TMT,Thermalito,Thermalito System,Feather River,81264,1970
LPY,Pillsbury,Lake Pillsbury,Eel River,80500,1956
SCD,Scott Dam,Lake Pillsbury,Eel River,80500,1956
SLW,Cedar Springs,Lake Silverwood,Mojave River,78000,1974
DLV,Del Valle,Lake Del Valle,Arroyo Valle,77100,1971
SPG,Spaulding,Spaulding Lake,S Fork Yuba River,74773,1951
BRV,Bear Valley,Big Bear Lake,Bear Creek,74000,1968
ENG,Englebright Narrows,Englebright Lake,Yuba River,70000,1955
LON,Loon Lake,Loon Lake,Rubicon River Tributary,69306,1964
JCK,Jackson Meadows,Jackson Meadows Res,M Fork Yuba River,69205,1966
CRY,Lower Crystal Springs,Crystal Springs Reservoir,San Mateo Creek,68865,1960
BWN,Bowman,Bowman Lake,Canyon Creek,68510,1946
BIO,Briones,Briones Lake,Bear Creek,67520,1971
TUL,Tulloch,Tulloch Reservoir,Stanislaus River,67000,1982
RLL,Rollins,Rollins Reservoir,Bear River,66000,1965
SLC,Sly Creek,,Lost Creek,65050,1963
FLR,Florence,Florence Lake,S Fork San Joaquin River,64406,1951
DON,Donnells,Donnells Reservoir,M Fork Stanislaus,64320,1958
RTD,Ruth,Ruth Lake,Mad River,61000,1966
TAB,Thermalito,Thermalito Afterbay,Feather River,57041,1968
ONF,O Neill Forebay,,San Luis Creek,56400,1967
FRD,Frenchman,Frenchman Lake,Little Last Chance Creek,55477,1964
FRM,Farmington,null,Littlejohn Creek,52000,1988
EPK,East Park,East Park Reservoir,Stony Creek,51000,1956
VIL,Vail,Vail Reservoir,Temecula Creek,51000,1980
MOR,Morena,Morena Lake,Cottonwood Creek,50694,1956
SAT,San Antonio,San Antonio Reservoir,Alameda Creek Tributary,50500,1966
DRE,Dwinnell,Lake Shastina,Shasta River,50000,1956
HNS,Henshaw,Lake Henshaw,San Luis Rey River,50000,1955
STG,Stony Gorge,Stony Gorge Reservoir,Stony Creek,50000,1955
BTV,Butt Valley,Butt Valley Reservoir,Butt Creek,49930,1945
LOT,Otay,Lower Otay,Otay River,49849,1956
LOP,Lopez Lake,Lopez Lake,Arroyo Grande Creek,49388,2021
SFL,Scotts Flat,Scotts Flat Reservoir,Deer Creek,49000,1948
LKF,Lake Fordyce near Cisco,Lake Fordyce,Fordyce Creek,48900,2020
LWB,Lower Bear River,Lower Bear Reservoir,Bear River,48750,1953
GNT,Grant Lake,Grant Lake,Rush Creek,47525,1956
HWE,Haiwee,Haiwee Reservoir,Rose Valley,46600,1956
TLC,Turlock,Turlock Lake,Tuolumne River,45600,1955
CNV,Crane Valley Storage,Crane Valley Lake,N Fork San Joaquin River,45410,1955
SGB,San Gabriel No. 1,San Gabriel Reservoir,San Gabriel,44440,1955
BDP,Bridgeport,Bridgeport Reservoir,E Fork Walker River,44100,1956
SKN,Skinner Clearwell,Skinner Lake,none,43800,1973
ICH,Ice House,Ice House Reservoir,S Fork Silver Creek,43496,1959
SPB,San Pablo,San Pablo Reservoir,San Pablo,43193,1956
JNK,Sly Park,Jenkinson Lake,Cosumnes River,41000,1955
BOC,Boca,Boca Reservoir,Little Truckee River,40870,1955
BIT,Pit Number 3,Lake Britton,Pit River,40620,1965
WHR,Whale Rock,Whale Rock Lake,Old Creek,38967,1961
USL,Upper San Leandro,U San Leandro R,Alameda Creek,37960,1956
BQC,Bouquet Canyon,Bouquet Reservoir,Bouquet Creek,36505,1934
MCO,McCloud,McCloud Reservoir,McCloud River,35300,1965
RDN,Redinger,Redinger Lake,San Joaquin River,35000,1965
BRT,Barrett,Barrett Lake,Cottonwood Creek,34805,1956
PT7,Pit No. 7,Pit No. 7,Pit River,34610,1966
LBS,Los Banos,Los Banos Reservoir,San Joaquin River,34600,1966
KNT,Kent,Kent Lake,Lagunitas Creek,32900,1954
HNN,Lake Hennessey,Lake Hennessey,Conn Creek,31000,1956
HDG,Lake Hodges,Lake Hodges,San Dieguito River,30251,1956
PRS,Prosser,Prosser Reservoir,Prosser Creek,29800,1964
STD,Sutherland,Sutherland Lake,Santa Ysabel Creek,29508,1956
CLC,Clifton Court Forebay,null,Old River,29000,2021
MDO,Modesto Reservoir,,Tuolumne River,29000,1956
ENR,Eleanor,Lake Eleanor,Tuolumne River,28600,1955
SW3,Sweetwater,Sweetwater Reservoir,Sweetwater Creek,27700,1956
SLN,Salinas,Santa Margarita Lake,Salinas River,26000,1942
LVD,Lake Loveland,Lake Loveland,Sweetwater River,25400,1956
SGC,Santiago Creek,,Santiago Creek,25000,1956
MMW,Indian Ole,Mountain Meadows,N Fork Feather River Tributary,24800,1966
IRC,Iron Canyon,Iron Canyon Reservoir,Pit River Tribuatary,24300,1965
OLH,Olivenhain,null,Escondido Creek,24000,2021
KES,Keswick,Keswick Reservoir,Sacramento River,23772,1965
CYC,Coyote Percolation,Coyote Reservoir,Coyote Creek,23666,1955
ANT,Antelope,Antelope,Indian Creek,22566,1966
NCA,Nicasio,Nicasio Reservoir,Nicasio Creek,22400,1961
CPL,Caples,Caples Lake,Silver Fork American River,22340,1948
LNG,Lexington,Los Gatos Creek,Los Gatos Creek,21430,1956
MRT,Martis Creek Reservoir,Martis Creek,Martis Creek,20400,1972
EDN,Mark Edson,Stumpy Meadows Lake,Rubicon River,20000,1965
SNN,San Andreas,San Andreas Lake,San Mateo Creek Tributary,19027,1956
SWB,Main Strawberry,Pinecrest Lake,S Fork Stanislaus,18312,1956
INP,Independence,Independence Lake,Independence Creek,17295,1984
GLK,Gem Lake,Gem Lake,Rush Creek,17228,1956
SLB,Slab Creek,Slab Creek Reservoir,S Fork American River,16600,1967
TNM,Tinemaha,Tinemaha Reservoir,Owens River,16405,1956
PT6,Pit No. 6,Pit No. 6,Pit River,15890,1966
VLP,Villa Park,Villa Park Reservoir,Santiago Creek,15600,1985
RLF,Relief,Relief Reservoir,M Fork Stanislaus River,15554,1956
MAR,Mariposa Creek,Mariposa Creek Dam,Mariposa Creek,15000,1988
LEW,Lewiston,Lewiston Lake,Trinity River,14660,1965
HMT,Lake Hemet,Lake Hemet,San Jacinto River,14000,1956
FRL,French Lake,French Lake,Canyon Creek,13940,1965
THD,Thermalito Diversion Pool,null,Feather River,13328,1969
RLC,Railroad Canyon,Railroad Canyon Reservoir,San Jacinto River,11847,1956
CUY,Cuyamaca,Cuyamaca Lake,Boulder Creek,11740,1956
SLJ,Soulajule,Soulajule,San Francisco Bay,10700,1976
CGS,Cogswell,Cogswell Reservoir,W Fork San Gabriel River,10438,1955
CHB,Chabot,Lake Chabot,San Leandro Creek,10281,1956
GBL,Gibraltar,Gibraltar Lake,Santa Ynez River,9998,1955
JNN,Chet Harrit,Lake Jennings,Quail Canyon Creek,9790,1962
CRO,Calero,Calero Reservoir,Calero Creek,9738,2021
MCS,McSwain,Lake McSwain,Merced River,9730,1966
DNN,Donner,Donner Lake,Truckee River,9700,1984
UVA,Uvas,Uvas Reservoir,Uvas Creek,9688,2021
SDB,Saddlebag,Saddlebag Lake,Lee Vining Creek,9465,1956
NAT,Natoma,Lake Natoma,American River,9000,1965
NWL,Newell Creek,null,Newell Creek,8991,2021
APN,Alpine,Alpine Lake,Lagunitas Creek,8892,1925
SIV,Silver,Silver Lake,Silver Fork American River,8640,1954
LVY,Lake Valley,Lake Valley Reservoir,N Fork American River,8127,1955
EJC,Elmer J Chesbro,null,Llagas Creek,8086,2021
BAR,Bear,null,Bear Creek,7700,1988
MMR,Miramar,Miramar,none,6682,1961
LYS,Lyons,Lyons Reservoir,S Fork Stanislaus River,6228,1972
AST,Austrian,Lake Austrian,Los Gatos Creek,6200,1956
SPC,Spring Creek,Spring Creek Debris Dam,Spring Creek,5874,2001
QUL,Quail,Quail Lake,none,5654,1971
CMB,Combie,Lake Combie,Bear River,5555,1984
BTH,Bethany Forebay,Bethany Forebay,Delta,5250,1968
JML,Juncal,Jameson Lake,Santa Ynez River,4968,2021
MRR,Murray,Murray Reservoir,Chaparral Canyon,4684,1955
LEA,Lake Alpine,Lake Alpine,Silver Creek,4600,2016
LRK,Littlerock,null,Littlerock Creek,4600,2021
BMP,Bon Tempe,Bon Tempe Reservoir,Lagunitas Creek,4300,2021
LFY,Lafayette,Lafayette,Lafayette Creek,4250,1985
KRH,Kerckhoff Diversion,Kerckhoff Reservoir,San Joaquin,4200,1985
SEC,Stevens Creek,Stevens Creek Reservoir,Stevens Creek,3800,2021
OWN,Owens Creek,Owens Creek Dam,Owens Creek,3600,1988
GDR,Guadalupe,Guadalupe Reservoir,Guadalupe Creek,3320,2020
JNC,Junction,null,Silver Creek,3250,1988
UTI,Utica,Utica Reservoir,NF Stanislaus River,2400,2016
MAT,Matilija,Matilija Reservoir,Matilija Creek,1800,1955
BHC,Brush Creek,null,Brush Creek,1530,1995
RBL,Rubicon Lake,Rubicon Lake,Rubicon River,1450,1995
GLL,Gerle Lake,Gerle Lake,Gerle Creek,1200,1995
BIL,Buck Island,null,Little Rubicon Creek,1070,1995
SOL,Solano,Lake Solano,Putah Creek,720,1976
VAR,Van Arsdale,Van Arsdale Reservoir,Eel River,700,2007
GDW,Goodwin,null,Stanislaus River,500,1988
LGT,Lagunitas,Lagunitas Lake,Lagunitas Creek,341,1925
CMI,Camino,null,Silver Creek,275,1995